student_id,lottery_order,term_1,term_2,term_3,term_4,term_5,term_6,term_7,term_8,term_9,term_10,term_11
17,1,,第三-総合診療部,,,本院-脳神経外科,本院-リハビリテーション科,,,,柏-内科（消化器・肝臓）,葛飾-内科（消化器・肝臓）
69,2,,本院-耳鼻咽喉・頭頸部外科,,,本院-産婦人科,葛飾-内科（消化器・肝臓）,,,,本院-形成外科,柏-内科（消化器・肝臓）
74,3,葛飾-内科（糖尿病・代謝・内分泌）,,,柏-救急科,本院-本院画像診断部,,,柏-小児科,,,柏-内科（消化器・肝臓）
2,4,本院-外科（肝胆膵）,葛飾-整形外科,,本院-救急科,,,,本院-脳神経外科,本院-外科（小児）,,
76,5,本院-内科（腎臓・高血圧）,本院-耳鼻咽喉・頭頸部外科,,,柏-救急科,柏-内科（リウマチ・膠原病）,,,本院-外科（下部消化管）,,
87,6,第三-内科（消化器・肝臓）,,本院-内科（消化器・肝臓）,,,本院-精神神経科,葛飾-内科（消化器・肝臓）,第三-精神神経科,,,
14,7,本院-耳鼻咽喉・頭頸部外科,本院-外科（小児）,,葛飾-内科（消化器・肝臓）,,,,本院-精神神経科,柏-内科（消化器・肝臓）,,
19,8,本院-本院画像診断部,本院-形成外科,,,本院-皮膚科,第三-耳鼻咽喉・頭頸部外科,,,葛飾-内科（消化器・肝臓）,,
72,9,,葛飾-内科（循環器）,,,葛飾-内科（呼吸器）,本院-整形外科,,,,本院-救急科,本院-本院画像診断部
60,10,,柏-救急科,,,第三-総合診療部,本院-小児科,,,,本院-精神神経科,柏-小児科
20,11,本院-本院画像診断部,本院-整形外科,,本院-耳鼻咽喉・頭頸部外科,,,,柏-救急科,本院-形成外科,,
77,12,,本院-眼科,,,柏-救急科,第三-総合診療部,,,,本院-本院画像診断部,第三-内科（呼吸器）
46,13,,,本院-本院画像診断部,本院-内科（腎臓・高血圧）,,,,第三-内科（循環器）,第三-内科（糖尿病・代謝・内分泌）,,第三-内科（消化器・肝臓）
26,14,葛飾-整形外科,,,葛飾-内科（腎臓・高血圧）,葛飾-内科（循環器）,,,本院-救急科,,,本院-内科（消化器・肝臓）
82,15,本院-整形外科,,,本院-耳鼻咽喉・頭頸部外科,本院-外科（血管）,,,本院-救急科,,,本院-本院画像診断部
83,16,本院-形成外科,,本院-本院画像診断部,,,本院-内科（脳神経）,柏-内科（消化器・肝臓）,本院-産婦人科,,,
