student_id,term,assigned_department,hope_rank
13,1,柏-泌尿器科,2.0
13,1,未配属,
46,2,柏-内科（消化器・肝臓）,6.0
46,2,未配属,
43,1,本院-眼科,2.0
43,1,未配属,
80,2,本院-本院画像診断部,1.0
80,2,未配属,
36,1,葛飾-内科（呼吸器）,2.0
36,1,未配属,
66,1,本院-救急科,4.0
66,1,未配属,
96,1,葛飾-内科（糖尿病・代謝・内分泌）,1.0
96,1,未配属,
56,3,本院-泌尿器科,1.0
56,3,未配属,
28,1,本院-泌尿器科,2.0
28,1,未配属,
50,3,葛飾-内科（循環器）,1.0
50,3,未配属,
59,1,柏-救急科,4.0
59,1,未配属,
100,1,柏-内科（呼吸器）,1.0
100,1,未配属,
69,2,第三-総合診療部（看護共修実習：2ターム目のみ）,1.0
69,2,未配属,
30,1,本院-本院画像診断部,1.0
30,1,未配属,
39,3,第三-内科（消化器・肝臓）,1.0
39,3,未配属,
86,3,本院-心臓外科,1.0
86,3,未配属,
31,1,葛飾-内科（循環器）,1.0
31,1,未配属,
35,3,柏-内科（リウマチ・膠原病）,1.0
35,3,未配属,
3,2,本院-整形外科,1.0
3,2,未配属,
23,3,本院-内科（リウマチ・膠原病）,1.0
23,3,未配属,
25,2,葛飾-内科（消化器・肝臓）,1.0
25,2,未配属,
89,3,本院-精神神経科,1.0
89,3,未配属,
47,2,第三-総合診療部（看護共修実習：2ターム目のみ）,5.0
47,2,未配属,
98,1,本院-麻酔科,2.0
98,1,未配属,
73,1,本院-産婦人科,2.0
73,1,未配属,
87,2,本院-本院画像診断部,2.0
87,2,未配属,
90,1,本院-本院放射線治療部,4.0
90,1,未配属,
33,1,本院-内科（消化器・肝臓）,1.0
33,1,未配属,
24,2,葛飾-内科（呼吸器）,1.0
24,2,未配属,
109,2,本院-精神神経科,2.0
109,2,未配属,
104,3,葛飾-内科（消化器・肝臓）,1.0
104,3,未配属,
34,2,本院-麻酔科,4.0
34,2,未配属,
76,1,本院-整形外科,7.0
76,1,未配属,
101,1,柏-内科（リウマチ・膠原病）,1.0
101,1,未配属,
84,2,本院-耳鼻咽喉・頭頸部外科,4.0
84,2,未配属,
26,1,本院-眼科,1.0
26,1,未配属,
15,3,柏-内科（呼吸器）,3.0
15,3,未配属,
77,2,本院-内視鏡部,4.0
77,2,未配属,
83,1,本院-内科（脳神経）,1.0
83,1,未配属,
95,2,葛飾-内科（腎臓・高血圧）,3.0
95,2,未配属,
49,3,本院-産婦人科,1.0
49,3,未配属,
48,2,第三-内科（脳神経）,1.0
48,2,未配属,
