student_id,希望科,通過確率
94,葛飾-内科（呼吸器）,36.7
94,本院-内科（脳神経）,100.0
94,本院-内科（消化器・肝臓）,53.3
94,本院-内科（リウマチ・膠原病）,96.7
94,本院-内科（腎臓・高血圧）,93.3
94,本院-本院外科（血管）,0.0
94,本院-本院外科（血管）,0.0
40,第三-内科（糖尿病・代謝・内分泌）,53.3
40,葛飾-内科（消化器・肝臓）,0.0
40,柏-内科（消化器・肝臓）,0.0
40,第三-本院画像診断部,0.0
40,葛飾-皮膚科,100.0
40,本院-感染制御科,80.0
40,本院-麻酔科,100.0
40,葛飾-内科（リウマチ・膠原病）,0.0
19,柏-内科（呼吸器）,90.0
19,第三-内科（呼吸器）,86.7
19,葛飾-内科（呼吸器）,90.0
19,第三-内科（リウマチ・膠原病）,0.0
19,葛飾-内科（リウマチ・膠原病）,0.0
19,柏-内科（リウマチ・膠原病）,100.0
19,第三-内科（消化器・肝臓）,36.7
19,葛飾-内科（消化器・肝臓）,0.0
19,柏-内科（消化器・肝臓）,0.0
19,本院-本院外科（血管）,0.0
104,第三-内科（呼吸器）,90.0
104,第三-総合診療部（その他）,100.0
104,第三-分院放射線科,96.7
104,第三-内科（消化器・肝臓）,93.3
104,本院-本院画像診断部,100.0
104,第三-内科（循環器）,100.0
104,本院-精神神経科,100.0
104,第三-内科（腎臓・高血圧）,100.0
104,本院-感染制御科,100.0
104,第三-産婦人科,100.0
104,本院-本院外科（小児）,0.0
104,本院-眼科,100.0
104,第三-泌尿器科,100.0
104,第三-小児科,100.0
41,本院-麻酔科,100.0
41,本院-内科（脳神経）,96.7
41,本院-耳鼻咽喉・頭頸部外科,96.7
41,葛飾-産婦人科,100.0
41,本院-形成外科,86.7
41,柏-形成外科,100.0
41,第三-分院外科,93.3
41,第三-救急科,0.0
41,第三-,0.0
57,第三-総合診療部（看護共修実習：2ターム目のみ）,100.0
57,柏-救急科,100.0
57,本院-リハビリテーション科,100.0
57,柏-内科（リウマチ・膠原病）,100.0
57,本院-救急科,100.0
57,本院-本院画像診断部,100.0
57,本院-感染制御科,86.7
57,第三-内科（呼吸器）,63.3
57,本院-産婦人科,100.0
57,葛飾-総合診療部（その他）,0.0
34,葛飾-内科（消化器・肝臓）,0.0
34,第三-内科（糖尿病・代謝・内分泌）,100.0
34,本院-内科（脳神経）,100.0
34,本院-内科（腫瘍・血液）,100.0
34,葛飾-内科（呼吸器）,93.3
34,葛飾-内科（循環器）,96.7
34,本院-感染制御科,100.0
34,本院-精神神経科,100.0
34,第三-内科（呼吸器）,73.3
34,葛飾-総合診療部（その他）,0.0
52,本院-形成外科,100.0
52,本院-本院画像診断部,63.3
52,本院-本院外科（小児）,0.0
52,本院-精神神経科,100.0
52,本院-耳鼻咽喉・頭頸部外科,100.0
52,柏-分院外科,100.0
52,本院-麻酔科,100.0
52,柏-精神神経科,0.0
54,本院-脳神経外科,96.7
54,本院-内科（脳神経）,100.0
54,本院-整形外科,100.0
54,柏-精神神経科,0.0
54,本院-産婦人科,96.7
54,本院-形成外科,100.0
54,本院-本院外科（肝胆膵）,0.0
54,本院-泌尿器科,100.0
54,柏-内科（消化器・肝臓）,63.3
5-40,本院-心臓外科,0.0
5-40,本院-リハビリテーション科,0.0
5-40,第三-総合診療部（その他）,0.0
5-40,本院-本院放射線治療部,0.0
5-40,柏-救急科,0.0
5-40,本院-救急科,0.0
5-40,本院-麻酔科,0.0
5-40,本院-泌尿器科,0.0
8,柏-分院外科,100.0
8,葛飾-総合診療部（その他）,0.0
8,本院-小児科,100.0
8,第三-総合診療部（その他）,93.3
8,本院-内科（リウマチ・膠原病）,83.3
8,本院-リハビリテーション科,96.7
8,本院-内科（糖尿病・代謝・内分泌）,100.0
8,本院-救急科,100.0
8,第三-内科（脳神経）,100.0
8,本院-内科（呼吸器）,100.0
86,本院-脳神経外科,100.0
86,柏-救急科,100.0
86,本院-泌尿器科,100.0
86,本院-本院画像診断部,100.0
86,本院-整形外科,100.0
86,本院-本院外科（血管）,0.0
86,本院-リハビリテーション科,100.0
86,葛飾-小児科,0.0
86,本院-産婦人科,100.0
86,本院-麻酔科,100.0
37,第三-総合診療部（看護共修実習：2ターム目のみ）,0.0
37,本院-リハビリテーション科,70.0
37,第三-総合診療部（その他）,66.7
37,柏-内科（脳神経）,100.0
37,第三-分院放射線科,90.0
37,葛飾-総合診療部（その他）,0.0
37,葛飾-分院放射線科,100.0
78,本院-内科（循環器）,86.7
78,本院-内科（消化器・肝臓）,96.7
78,本院-整形外科,100.0
78,第三-内科（呼吸器）,70.0
78,葛飾-内科（消化器・肝臓）,0.0
78,柏-内科（循環器）,96.7
78,柏-整形外科,96.7
66,本院-本院画像診断部,100.0
66,葛飾-内科（消化器・肝臓）,90.0
66,葛飾-内科（呼吸器）,100.0
66,柏-内科（消化器・肝臓）,100.0
66,柏-内科（消化器・肝臓）,100.0
66,葛飾-整形外科,100.0
66,葛飾-泌尿器科,100.0
66,葛飾-内科（腎臓・高血圧）,100.0
66,葛飾-小児科,0.0
66,柏-内科（呼吸器）,93.3
35,本院-産婦人科,100.0
35,葛飾-産婦人科,100.0
35,第三-産婦人科,100.0
35,柏-産婦人科,100.0
35,本院-本院放射線治療部,90.0
35,葛飾-内科（糖尿病・代謝・内分泌）,96.7
35,第三-内科（循環器）,96.7
35,第三-内科（腎臓・高血圧）,96.7
35,葛飾-内科（循環器）,96.7
35,第三-内科（消化器・肝臓）,93.3
76,本院-本院外科（肝胆膵）,0.0
76,葛飾-内科（消化器・肝臓）,0.0
76,柏-救急科,100.0
76,葛飾-整形外科,90.0
76,本院-形成外科,100.0
76,葛飾-内科（循環器）,73.3
76,本院-本院外科（下部消化管）,0.0
76,本院-耳鼻咽喉・頭頸部外科,100.0
65,本院-内科（腎臓・高血圧）,100.0
65,本院-産婦人科,100.0
65,柏-救急科,100.0
65,葛飾-内科（消化器・肝臓）,0.0
65,葛飾-内科（糖尿病・代謝・内分泌）,90.0
65,柏-内科（呼吸器）,83.3
65,第三-内科（消化器・肝臓）,80.0
65,第三-内科（呼吸器）,46.7
65,葛飾-整形外科,90.0
65,本院-眼科,100.0
51,本院-内科（消化器・肝臓）,56.7
51,第三-内科（消化器・肝臓）,53.3
51,葛飾-内科（消化器・肝臓）,0.0
51,柏-内科（消化器・肝臓）,0.0
51,葛飾-内科（呼吸器）,56.7
51,第三-内科（呼吸器）,26.7
51,柏-内科（呼吸器）,6.7
51,第三-内科（循環器）,96.7
51,葛飾-内科（循環器）,80.0
51,柏-内科（循環器）,100.0
51,第三-内科（糖尿病・代謝・内分泌）,66.7
51,葛飾-内科（糖尿病・代謝・内分泌）,70.0
51,第三-内科（腎臓・高血圧）,93.3
51,葛飾-内科（腎臓・高血圧）,93.3
51,本院-眼科,96.7
51,本院-精神神経科,100.0
51,-本院画像診断部,0.0
51,柏-精神神経科,16.7
51,本院-整形外科,96.7
51,本院-泌尿器科,100.0
45,葛飾-内科（呼吸器）,90.0
45,葛飾-内科（消化器・肝臓）,53.3
