student_id,term,assigned_department,matched_priority
19,1,柏-内科（呼吸器）,1.0
19,2,柏-内科（呼吸器）,1.0
19,5,柏-内科（呼吸器）,1.0
19,9,柏-内科（呼吸器）,1.0
41,3,本院-麻酔科,1.0
41,4,本院-麻酔科,1.0
41,8,本院-麻酔科,1.0
41,11,本院-麻酔科,1.0
57,2,第三-総合診療部（看護共修実習：2ターム目のみ）,1.0
57,3,本院-リハビリテーション科,3.0
57,6,柏-救急科,2.0
57,10,柏-救急科,2.0
52,1,本院-形成外科,1.0
52,4,本院-形成外科,1.0
52,8,本院-本院画像診断部,2.0
52,9,本院-形成外科,1.0
54,3,本院-脳神経外科,1.0
54,6,本院-脳神経外科,1.0
54,7,本院-脳神経外科,1.0
54,8,本院-脳神経外科,1.0
86,3,本院-脳神経外科,1.0
86,6,本院-脳神経外科,1.0
86,7,本院-脳神経外科,1.0
86,8,本院-脳神経外科,1.0
37,2,第三-総合診療部（看護共修実習：2ターム目のみ）,1.0
37,5,本院-リハビリテーション科,2.0
37,9,第三-総合診療部（その他）,3.0
37,10,本院-リハビリテーション科,2.0
78,2,本院-内科（循環器）,1.0
78,5,本院-内科（循環器）,1.0
78,9,本院-内科（消化器・肝臓）,2.0
78,10,本院-内科（消化器・肝臓）,2.0
51,3,本院-内科（消化器・肝臓）,1.0
51,6,本院-内科（消化器・肝臓）,1.0
51,7,本院-内科（消化器・肝臓）,1.0
51,10,本院-内科（消化器・肝臓）,1.0
35,3,本院-産婦人科,1.0
35,6,本院-産婦人科,1.0
35,7,本院-産婦人科,1.0
35,8,本院-産婦人科,1.0
65,3,本院-内科（腎臓・高血圧）,1.0
65,6,本院-内科（腎臓・高血圧）,1.0
65,7,本院-内科（腎臓・高血圧）,1.0
65,10,本院-内科（腎臓・高血圧）,1.0
67,3,本院-耳鼻咽喉・頭頸部外科,1.0
67,6,本院-耳鼻咽喉・頭頸部外科,1.0
67,7,本院-耳鼻咽喉・頭頸部外科,1.0
67,8,本院-耳鼻咽喉・頭頸部外科,1.0
2,1,本院-眼科,1.0
2,4,本院-眼科,1.0
2,8,本院-眼科,1.0
2,9,本院-眼科,1.0
100,1,本院-眼科,1.0
100,2,本院-眼科,1.0
100,5,本院-眼科,1.0
100,9,本院-眼科,1.0
28,1,葛飾-内科（消化器・肝臓）,1.0
28,2,葛飾-内科（消化器・肝臓）,1.0
28,5,葛飾-内科（消化器・肝臓）,1.0
28,9,葛飾-内科（消化器・肝臓）,1.0
89,3,本院-内科（消化器・肝臓）,1.0
89,6,本院-内科（消化器・肝臓）,1.0
89,7,本院-内科（消化器・肝臓）,1.0
89,8,本院-内科（消化器・肝臓）,1.0
88,1,本院-内科（消化器・肝臓）,1.0
88,4,本院-内科（消化器・肝臓）,1.0
88,8,本院-内視鏡部,4.0
88,11,本院-内科（消化器・肝臓）,1.0
75,2,本院-感染制御科,1.0
75,5,本院-感染制御科,1.0
75,9,本院-感染制御科,1.0
75,10,本院-感染制御科,1.0
43,1,柏-内科（消化器・肝臓）,2.0
43,4,柏-内科（消化器・肝臓）,2.0
43,5,柏-内科（消化器・肝臓）,2.0
43,9,柏-内科（消化器・肝臓）,2.0
61,1,本院-形成外科,1.0
61,4,本院-形成外科,1.0
61,8,葛飾-内科（呼吸器）,3.0
61,11,本院-形成外科,1.0
16,3,本院-耳鼻咽喉・頭頸部外科,1.0
16,4,本院-耳鼻咽喉・頭頸部外科,1.0
16,8,本院-耳鼻咽喉・頭頸部外科,1.0
16,11,本院-耳鼻咽喉・頭頸部外科,1.0
50,3,柏-内科（消化器・肝臓）,1.0
50,4,葛飾-内科（消化器・肝臓）,2.0
50,8,柏-内科（消化器・肝臓）,1.0
50,11,柏-内科（消化器・肝臓）,1.0
21,1,本院-本院画像診断部,1.0
21,4,本院-本院画像診断部,1.0
21,8,本院-本院画像診断部,1.0
21,9,本院-本院画像診断部,1.0
109,2,本院-本院放射線治療部,4.0
109,3,本院-心臓外科,1.0
109,6,本院-リハビリテーション科,2.0
109,10,本院-心臓外科,1.0
29,2,本院-眼科,1.0
29,5,本院-眼科,1.0
29,9,第三-内科（消化器・肝臓）,4.0
29,10,本院-眼科,1.0
81,2,本院-内科（消化器・肝臓）,1.0
81,5,本院-内科（消化器・肝臓）,1.0
81,9,本院-内科（消化器・肝臓）,1.0
81,10,葛飾-内科（循環器）,2.0
10,3,第三-泌尿器科,1.0
10,4,第三-泌尿器科,1.0
10,8,第三-泌尿器科,1.0
10,11,第三-泌尿器科,1.0
70,3,本院-麻酔科,1.0
70,4,本院-麻酔科,1.0
70,8,本院-麻酔科,1.0
70,11,本院-麻酔科,1.0
71,2,本院-麻酔科,1.0
71,5,本院-麻酔科,1.0
71,6,本院-麻酔科,1.0
71,10,本院-麻酔科,1.0
26,1,本院-内科（脳神経）,2.0
26,4,柏-内科（呼吸器）,1.0
26,8,本院-内科（脳神経）,2.0
26,11,柏-内科（呼吸器）,1.0
18,2,本院-精神神経科,1.0
18,5,本院-精神神経科,1.0
18,9,本院-精神神経科,1.0
18,10,本院-精神神経科,1.0
25,2,柏-内科（消化器・肝臓）,1.0
25,5,本院-精神神経科,3.0
25,6,柏-内科（消化器・肝臓）,1.0
25,10,柏-内科（消化器・肝臓）,1.0
111,3,葛飾-整形外科,1.0
111,4,葛飾-整形外科,1.0
111,8,葛飾-整形外科,1.0
111,11,葛飾-整形外科,1.0
14,2,第三-泌尿器科,2.0
14,3,柏-内科（呼吸器）,1.0
14,6,柏-内科（呼吸器）,1.0
14,10,柏-内科（呼吸器）,1.0
58,1,柏-整形外科,3.0
58,4,柏-整形外科,3.0
58,8,柏-整形外科,3.0
58,9,本院-形成外科,1.0
38,3,葛飾-内科（脳神経）,1.0
38,4,葛飾-内科（脳神経）,1.0
38,8,葛飾-内科（脳神経）,1.0
38,11,葛飾-内科（脳神経）,1.0
12,1,葛飾-内科（循環器）,1.0
12,4,葛飾-内科（循環器）,1.0
12,5,葛飾-内科（循環器）,1.0
12,9,葛飾-内科（循環器）,1.0
34,2,本院-内科（腫瘍・血液）,1.0
34,3,本院-内科（腫瘍・血液）,1.0
34,6,本院-内科（腫瘍・血液）,1.0
34,10,本院-内科（腫瘍・血液）,1.0
8,3,本院-小児科,3.0
8,6,本院-小児科,3.0
8,7,本院-小児科,3.0
8,8,本院-小児科,3.0
104,3,第三-内科（循環器）,1.0
104,6,第三-眼科,2.0
104,7,第三-内科（循環器）,1.0
104,8,第三-内科（循環器）,1.0
42,2,第三-内科（腎臓・高血圧）,1.0
42,3,第三-内科（腎臓・高血圧）,1.0
42,6,第三-内科（腎臓・高血圧）,1.0
42,10,第三-内科（腎臓・高血圧）,1.0
40,1,柏-内科（循環器）,1.0
40,2,柏-内科（循環器）,1.0
40,5,柏-内科（循環器）,1.0
40,9,柏-内科（循環器）,1.0
59,1,第三-内科（消化器・肝臓）,4.0
59,4,第三-内科（消化器・肝臓）,4.0
59,8,葛飾-内科（循環器）,3.0
59,9,本院-本院画像診断部,6.0
68,3,本院-本院画像診断部,1.0
68,6,本院-本院画像診断部,1.0
68,7,本院-本院画像診断部,1.0
68,10,本院-本院画像診断部,1.0
45,1,葛飾-内科（呼吸器）,2.0
45,4,本院-内科（消化器・肝臓）,1.0
45,8,第三-総合診療部（その他）,3.0
45,11,本院-内科（消化器・肝臓）,1.0
99,1,第三-内科（呼吸器）,6.0
99,4,葛飾-内科（呼吸器）,5.0
99,8,第三-内科（消化器・肝臓）,3.0
99,11,葛飾-内科（消化器・肝臓）,2.0
62,3,葛飾-内科（糖尿病・代謝・内分泌）,2.0
62,6,葛飾-内科（糖尿病・代謝・内分泌）,2.0
62,7,柏-内科（消化器・肝臓）,1.0
62,8,本院-精神神経科,5.0
103,3,本院-形成外科,2.0
103,6,本院-耳鼻咽喉・頭頸部外科,1.0
103,7,本院-耳鼻咽喉・頭頸部外科,1.0
103,8,柏-救急科,3.0
77,2,本院-本院画像診断部,2.0
77,3,本院-眼科,1.0
77,6,本院-眼科,1.0
77,10,本院-眼科,1.0
36,1,本院-本院画像診断部,2.0
36,2,本院-本院画像診断部,2.0
36,5,本院-本院画像診断部,2.0
36,9,本院-脳神経外科,4.0
